date,samples_total,samples_new,tests_new,cases_total,isolation,discharged_total,active_cases,deaths_total,oxygen_support_active_patients,critical_care_active_patients,ventilator_support_active_patients,healthcare_first_vaccination_today,healthcare_first_vaccination_total,frontline_first_vaccination_today,frontline_first_vaccination_total,healthcare_second_vaccination_today,healthcare_second_vaccination_total,frontline_second_vaccination_today,frontline_second_vaccination_total,above_45_first_vaccination_today,above_45_first_vaccination_total,above_45_second_vaccination_today,above_45_second_vaccinattion_total,eighteen_44_first_vaccination_today,eighteen_44_first_vaccination_total,eighteen_44_second_vaccination_today,eighteen_44_second_vaccination_total,first_vaccination_today,second_vaccination_today,total_vaccination_today
2021-05-26,8925740,75435,75818,,,487859,50549,13827,6007,942,354,4970,875908,4970,875908,1820,249353,1820,249353,18384,2755190,3727,,19148,438105,,,48049,48049,48049
2021-05-25,8850305,74653,65890,,,481462,53127,13642,6357,958,386,3351,870938,3351,870938,1933,247533,1933,247533,9307,2736806,5789,,16468,418957,,,36848,36848,36848
2021-05-24,8775622,56119,69713,,,475011,54996,13468,6743,1011,387,3303,867587,3303,867587,595,245600,595,245600,12085,2727499,3373,,34721,402489,,,54077,54077,54077
2021-05-23,8719503,83258,82446,,,468208,57505,13281,7154,1024,386,4694,864284,4694,864284,272,245005,272,245005,12689,2715414,3604,,34616,367768,,,55875,55875,55875
2021-05-22,8636245,80128,82097,,,459681,61203,13089,7280,1127,381,11300,859590,11300,859590,1275,244733,1275,244733,34032,2702725,4422,,46310,333152,,,97339,97339,97339
2021-05-21,8556117,73973,76321,,,452318,63470,12888,7448,1114,418,7662,848290,7662,848290,1390,243458,1390,243458,23735,2668693,2723,,36481,286842,,,71991,71991,71991
2021-05-20,8482144,71663,79167,,,443666,67041,12716,7613,1133,407,6238,840628,6238,840628,723,242068,723,242068,27813,2644958,2071,,26548,250361,,,63393,63393,63393
2021-05-19,8410481,73245,73587,,,434930,70499,12525,7939,1130,405,3308,834390,3308,834390,524,241345,524,241345,11444,2617145,1600,,39265,223813,,,56171,56171,56171
2021-05-18,8337236,63416,62082,,,427058,72277,12317,8202,1213,422,1151,831082,1151,831082,704,240821,704,240821,1911,2605701,2049,,44628,184548,,,50443,50443,50443
2021-05-17,8273820,60994,59987,,,418884,73616,12086,9936,1221,419,1459,829931,1459,829931,283,240117,283,240117,2736,2603790,1134,,44668,139920,,,50281,50281,50281
2021-05-16,8212826,72422,72091,,,410332,75478,11895,9796,,443,1149,828472,1149,828472,144,239834,144,239834,4413,2601054,1147,,32653,95252,,,39506,39506,39506
2021-05-15,8140404,67600,72454,,,401273,77789,11693,9902,,429,4636,827323,4636,827323,686,239690,686,239690,7322,2596641,2428,,30284,62599,,,45356,45356,45356
2021-05-14,8072800,71055,71470,,,393148,79359,11477,9820,,421,5685,822687,5685,822687,877,239004,877,239004,5517,2589319,3440,,18197,32315,,,33716,33716,33716
2021-05-13,8001745,68809,66087,,,384702,79950,11297,9619,,429,10920,817002,10920,817002,2481,238127,2481,238127,12823,2583802,7978,,7555,14118,,,41757,41757,41757
2021-05-12,7932936,64869,61789,,,376465,79963,11111,9736,,342,13065,806082,13065,806082,3003,235646,3003,235646,19232,2570979,12136,,3509,6563,,,50945,50945,50945
2021-05-11,7868067,62910,57675,,,371494,76856,10918,9652,,324,22217,793017,22217,793017,5975,232643,5975,232643,24360,2551747,27963,,,,,,82688,82688,82688
2021-05-10,7805157,37806,53465,,,364170,75800,10704,9376,,298,12375,770800,12375,770800,4857,226668,4857,226668,23392,2527387,27986,,,,,,69494,69494,69494
2021-05-09,7767351,59766,57616,,,357276,74343,10506,9384,,296,6666,758425,6666,758425,2164,221811,2164,221811,12987,2503995,13131,,,,,,34948,34948,34948
2021-05-08,7707585,64918,60553,,,351426,71948,10315,9086,,288,21122,751759,21122,751759,5108,219647,5108,219647,28101,2491008,22949,,,,,,77280,77280,77280
2021-05-06,7574249,63576,65639,,,339803,66568,9979,8728,,238,17329,715916,17329,715916,5199,207946,5199,207946,30562,2437386,21551,,,,,,74641,74641,74641
2021-05-05,7510673,67336,70318,,,334677,63007,9825,8457,,240,12301,698587,12301,698587,4915,202747,4915,202747,28826,2406824,24027,,,,,,70069,70069,70069
2021-05-04,7443337,65777,65589,,,327976,61935,9645,8034,,231,3412,686286,3412,686286,1202,197832,1202,197832,6732,2377998,4246,,,,,,15592,15592,15592
2021-05-03,7377560,36792,56313,,,321861,60709,9472,7845,,213,6735,682874,6735,682874,2100,196630,2100,196630,14135,2371266,7787,,,,,,30757,30757,30757
2021-05-02,7340768,58790,60804,,,315845,60108,9317,7525,,229,7536,676139,7536,676139,1548,194530,1548,194530,17211,2357131,6925,,,,,,33220,33220,33220
2021-05-01,7281978,60547,64331,,,310601,58229,9160,644,,114,18557,668603,18557,668603,4151,192982,4151,192982,37627,2339920,12375,,,,,,72710,72710,72710
2021-04-30,7221431,57642,58848,,,306153,55798,9022,669,,99,21503,650046,21503,650046,5886,188831,5886,188831,45591,2302293,17993,,,,,,90973,90973,90973
2021-04-29,7163789,55469,52227,,,301047,54954,8909,648,,97,16346,628543,16346,628543,3983,182945,3983,182945,42360,2256702,15909,,,,,,78598,78598,78598
2021-04-28,7107801,53365,54443,,,295988,53426,8772,700,,97,12813,612197,12813,612197,4054,178962,4054,178962,47111,2214342,16882,,,,,,80860,80860,80860
2021-04-26,6996890,35358,47091,,,286942,49894,8530,665,,85,11548,593823,11548,593823,3660,173004,3660,173004,54240,2146720,14203,,,,,,83651,83651,83651
2021-04-25,6961532,58286,59993,,,282504,48154,8432,584,,74,12802,582275,12802,582275,1958,169344,1958,169344,51662,2092480,9848,,,,,,76270,76270,76270
2021-04-24,6903246,54456,55814,,,277189,46565,8356,556,,61,19510,569473,19510,569473,4509,167386,4509,167386,74631,2040818,17828,,,,,,116478,116478,116478
2021-04-23,6848790,56579,54003,,,274240,43943,8264,527,,44,15964,549963,15964,549963,4547,162877,4547,162877,65502,1966187,13630,,,,,,99643,99643,99643
2021-04-22,6792211,47305,60432,,,270946,40584,8189,508,,38,6027,533999,6027,533999,2192,158330,2192,158330,34737,1900685,7634,,,,,,50590,50590,50590
2021-04-21,6744906,54108,56751,,,267289,38866,8114,495,,42,8488,527972,8488,527972,1816,156138,1816,156138,43089,1865948,8815,,,,,,62208,62208,62208
2021-04-19,6639409,29741,44098,,,261364,35311,7985,463,,43,8706,509430,8706,509430,2482,151209,2482,151209,59843,1764899,9492,,,,,,80523,80523,80523
2021-04-13,6407939,39037,30867,,,243410,28184,7609,363,,50,4424,460176,4424,460176,1595,136706,1595,136706,55255,1378564,3687,,,,,,64961,64961,64961
2021-04-12,6368902,22586,34515,,,240798,27866,7559,360,,45,6192,455752,6192,455752,2481,135111,2481,135111,81762,1323309,4284,,,,,,94719,94719,94719
2021-04-11,6346316,37664,38180,,,237391,27874,7507,342,,43,2505,449560,2505,449560,677,132630,677,132630,64080,1241547,1867,,,,,,69129,69129,69129
2021-04-10,6308652,37774,36813,,,234270,28015,7448,371,,35,19184,447055,19184,447055,5389,131953,5389,131953,123786,1177467,3279,,,,,,151638,151638,151638
2021-04-09,6270878,35492,41347,,,231885,27219,7390,406,,43,3904,427871,3904,427871,2389,126564,2389,126564,90170,1053681,3276,,,,,,99738,99738,99738
2021-04-08,6235386,46372,46472,,,229367,26389,7334,386,,24,1427,423967,1427,423967,1912,124175,1912,124175,83254,963511,3215,,,,,,89808,89808,89808
