date,cases_new,cases_total,discharged_total,discharged_new,deaths_total,deaths_new,cases_active_total,cases_active_new,discharge_rate,fatality_rate
05-02-2021,194,570981,555788,297,10201,2,4992,-105,97.34,
04-02-2021,206,570787,555491,301,10199,4,5097,-99,97.32,
03-02-2021,201,570581,555190,303,10195,7,5196,-109,97.3,
02-02-2021,203,570380,554887,309,10188,9,5305,-115,97.28,
01-02-2021,179,570177,554578,306,10179,6,5420,-133,97.26,
31-01-2021,229,569998,554272,338,10173,9,5553,-118,97.24,
30-01-2021,310,569769,553934,341,10164,9,5671,-40,97.22,
29-01-2021,286,569459,553593,349,10155,7,5711,-70,97.21,
28-01-2021,289,569173,553244,367,10148,9,5781,-87,97.2,
27-01-2021,234,568884,552877,386,10139,8,5868,-160,97.19,
26-01-2021,295,568650,552491,409,10131,9,6028,-123,97.16,
25-01-2021,252,568355,552082,417,10122,7,6151,-172,97.14,
24-01-2021,389,568103,551665,454,10115,8,6323,-73,97.11,
23-01-2021,410,567714,551211,474,10107,10,6396,-74,97.09,
22-01-2021,406,567304,550737,493,10097,8,6470,-95,97.08,
21-01-2021,416,566898,550244,517,10089,9,6565,-110,97.06,
20-01-2021,409,566482,549727,509,10080,6,6675,-106,97.04,
19-01-2021,412,566073,549218,513,10074,11,6781,-112,97.02,
18-01-2021,389,565661,548705,569,10063,10,6893,-190,97,
17-01-2021,565,565272,548136,621,10053,12,7083,-68,96.97,
16-01-2021,609,564707,547515,666,10041,15,7151,-72,96.96,
15-01-2021,623,564098,546849,656,10026,16,7223,-49,96.94,
14-01-2021,680,563475,546193,694,10010,17,7272,-31,96.93,
13-01-2021,723,562795,545499,794,9993,18,7303,-89,96.93,
12-01-2021,751,562072,544705,879,9975,18,7392,-146,96.91,
11-01-2021,612,561321,543826,939,9957,16,7538,-343,96.88,
10-01-2021,823,560709,542887,957,9941,19,7881,-153,96.82,
09-01-2021,787,559886,541930,978,9922,20,8034,-211,96.79,
08-01-2021,926,559099,540952,1136,9902,21,8245,-231,96.75,
07-01-2021,921,558173,539816,1295,9881,18,8476,-392,96.71,
06-01-2021,868,557252,538521,1271,9863,22,8868,-425,96.64,
05-01-2021,812,556384,537250,1166,9841,24,9293,-378,96.56,
04-01-2021,597,555572,536084,1347,9817,25,9671,-775,96.49,
03-01-2021,896,554975,534737,1432,9792,26,10446,-562,96.35,
02-01-2021,863,554079,533305,1443,9766,28,11008,-608,96.25,
01-01-2021,1153,553216,531862,1496,9738,26,11616,-369,96.14,
31-12-2020,1170,552063,530366,1537,9712,29,11985,-396,96.07,
30-12-2020,1178,550893,528829,1557,9683,28,12381,-407,95.99,
