,date,hospital_dedicated,hospital_dedicated_govt,hospital_dedicated_pvt,covid19_beds,covid19_bed_occupancy,icu_hdu_beds,n_safe_homes,safe_home_beds,n_ventilators,total_patients_home_isolation,current_patients_home_isolation,released_patients_home_isolation,current_patients_hospital,current_patients_safe_homes,day,month,year,Index,people_per_hospital,covid_beds_for_population,icu_hdu_beds_for_population,ventilators_for_population,people_per_hospital_per_million,covid_beds_per_million,icu_hdu_beds_per_million,ventilators_per_million
6,16-09-2021,203.0,196,7.0,23947.0,3.31,2861,200.0,11507.0,,,6649.0,,1119.0,257.0,Thursday,September2021,2021,20210916,443349.7536945813,3758.2995782352696,31457.532331352675,,4926.108374384236,41.758884202614105,349.52813701502976,
5,17-09-2021,203.0,196,7.0,23947.0,,2861,200.0,11507.0,,,6668.0,,1082.0,258.0,Friday,September2021,2021,20210917,443349.7536945813,3758.2995782352696,31457.532331352675,,4926.108374384236,41.758884202614105,349.52813701502976,
4,18-09-2021,203.0,196,7.0,23947.0,3.12,2861,200.0,11507.0,,,6667.0,,1056.0,244.0,Saturday,September2021,2021,20210918,443349.7536945813,3758.2995782352696,31457.532331352675,,4926.108374384236,41.758884202614105,349.52813701502976,
3,19-09-2021,203.0,196,7.0,23947.0,,2861,200.0,11507.0,,,6571.0,,1091.0,244.0,Sunday,September2021,2021,20210919,443349.7536945813,3758.2995782352696,31457.532331352675,,4926.108374384236,41.758884202614105,349.52813701502976,
2,20-09-2021,203.0,196,7.0,23947.0,,2861,200.0,11507.0,,,6402.0,,1170.0,238.0,Monday,September2021,2021,20210920,443349.7536945813,3758.2995782352696,31457.532331352675,,4926.108374384236,41.758884202614105,349.52813701502976,
1,21-09-2021,203.0,196,7.0,23947.0,3.47,2861,200.0,11507.0,,,6384.0,,1131.0,226.0,Tuesday,September2021,2021,20210921,443349.7536945813,3758.2995782352696,31457.532331352675,,4926.108374384236,41.758884202614105,349.52813701502976,
0,22-09-2021,203.0,196,7.0,23947.0,,2861,200.0,11507.0,,,6364.0,,1133.0,227.0,Wednesday,September2021,2021,20210922,443349.7536945813,3758.2995782352696,31457.532331352675,,4926.108374384236,41.758884202614105,349.52813701502976,
463,23-09-2021,203.0,196,7.0,23947.0,3.59,2861,200.0,11507.0,,,6315.0,,1160.0,229.0,Thursday,September2021,2021,20210923,443349.7536945813,3758.2995782352696,31457.532331352675,,4926.108374384236,41.758884202614105,349.52813701502976,
464,24-09-2021,203.0,196,7.0,23947.0,3.48,2861,200.0,11507.0,,,6314.0,,1149.0,226.0,Friday,September2021,2021,20210924,443349.7536945813,3758.2995782352696,31457.532331352675,,4926.108374384236,41.758884202614105,349.52813701502976,
465,25-09-2021,203.0,196,7.0,23947.0,,2861,200.0,11507.0,,,6275.0,,1177.0,222.0,Saturday,September2021,2021,20210925,443349.7536945813,3758.2995782352696,31457.532331352675,,4926.108374384236,41.758884202614105,349.52813701502976,
466,26-09-2021,203.0,196,7.0,23947.0,,2861,200.0,11507.0,,,6273.0,,1187.0,223.0,Sunday,September2021,2021,20210926,443349.7536945813,3758.2995782352696,31457.532331352675,,4926.108374384236,41.758884202614105,349.52813701502976,
467,27-09-2021,203.0,196,7.0,23947.0,,2861,200.0,11507.0,,,6112.0,,1249.0,223.0,Monday,September2021,2021,20210927,443349.7536945813,3758.2995782352696,31457.532331352675,,4926.108374384236,41.758884202614105,349.52813701502976,
468,28-09-2021,203.0,196,7.0,23947.0,,2861,200.0,11507.0,,,6175.0,,1189.0,222.0,Tuesday,September2021,2021,20210928,443349.7536945813,3758.2995782352696,31457.532331352675,,4926.108374384236,41.758884202614105,349.52813701502976,
469,29-09-2021,203.0,196,7.0,23947.0,,2861,200.0,11507.0,,,6180.0,,1180.0,220.0,Wednesday,September2021,2021,20210929,443349.7536945813,3758.2995782352696,31457.532331352675,,4926.108374384236,41.758884202614105,349.52813701502976,
471,30-09-2021,203.0,196,7.0,23947.0,3.42,2861,200.0,11507.0,,,6181.0,,1171.0,218.0,Thursday,September2021,2021,20210930,443349.7536945813,3758.2995782352696,31457.532331352675,,4926.108374384236,41.758884202614105,349.52813701502976,
470,01-10-2021,203.0,196,7.0,23947.0,3.17,2861,200.0,11507.0,,,6240.0,,1106.0,225.0,Friday,October2021,2021,20211001,443349.7536945813,3758.2995782352696,31457.532331352675,,4926.108374384236,41.758884202614105,349.52813701502976,
472,02-10-2021,203.0,196,7.0,23947.0,,2861,200.0,11507.0,,,,,1137.0,231.0,Saturday,October2021,2021,20211002,443349.7536945813,3758.2995782352696,31457.532331352675,,4926.108374384236,41.758884202614105,349.52813701502976,
473,03-10-2021,203.0,196,7.0,23947.0,3.06,2861,200.0,11507.0,,,6284.0,,1072.0,231.0,Sunday,October2021,2021,20211003,443349.7536945813,3758.2995782352696,31457.532331352675,,4926.108374384236,41.758884202614105,349.52813701502976,
474,04-10-2021,203.0,196,7.0,23947.0,3.31,2861,200.0,11507.0,,,6238.0,,1151.0,215.0,Monday,October2021,2021,20211004,443349.7536945813,3758.2995782352696,31457.532331352675,,4926.108374384236,41.758884202614105,349.52813701502976,
475,05-10-2021,203.0,196,7.0,23947.0,3.29,2861,200.0,11507.0,,,6223.0,,1134.0,218.0,Tuesday,October2021,2021,20211005,443349.7536945813,3758.2995782352696,31457.532331352675,,4926.108374384236,41.758884202614105,349.52813701502976,
476,06-10-2021,203.0,196,7.0,23947.0,3.22,2861,200.0,11507.0,,,6247.0,,1127.0,217.0,Wednesday,October2021,2021,20211006,443349.7536945813,3758.2995782352696,31457.532331352675,,4926.108374384236,41.758884202614105,349.52813701502976,
477,07-10-2021,203.0,196,7.0,23947.0,3.32,2861,200.0,11507.0,,,6218.0,,1161.0,214.0,Thursday,October2021,2021,20211007,443349.7536945813,3758.2995782352696,31457.532331352675,,4926.108374384236,41.758884202614105,349.52813701502976,
478,08-10-2021,203.0,196,7.0,23947.0,3.27,2861,200.0,11507.0,,,6281.0,,1139.0,205.0,Friday,October2021,2021,20211008,443349.7536945813,3758.2995782352696,31457.532331352675,,4926.108374384236,41.758884202614105,349.52813701502976,
479,10-10-2021,203.0,196,7.0,23947.0,,2861,200.0,11507.0,,,,,1116.0,204.0,Sunday,October2021,2021,20211010,443349.7536945813,3758.2995782352696,31457.532331352675,,4926.108374384236,41.758884202614105,349.52813701502976,
480,11-10-2021,203.0,196,7.0,23947.0,2.99,2861,200.0,11507.0,,,6379.0,,1060.0,210.0,Monday,October2021,2021,20211011,443349.7536945813,3758.2995782352696,31457.532331352675,,4926.108374384236,41.758884202614105,349.52813701502976,
