date,district,deaths_reported,death_through_appeal,pending_deaths,death_cases_approved
30-11-2021,Kasaragod,2,7,0,9
30-11-2021,total,19,158,0,177
01-12-2021,Thiruvananthapuram,7,38,0,45
01-12-2021,Kollam,8,185,0,193
01-12-2021,Pathanamthitta,7,0,0,7
01-12-2021,Alappuzha,5,6,0,11
01-12-2021,Kottayam,0,0,0,0
01-12-2021,Idukki,5,18,0,23
01-12-2021,Ernakulam,4,0,0,4
01-12-2021,Thrissur,6,0,0,6
01-12-2021,Palakkad,3,11,0,14
01-12-2021,Malappuram,14,0,0,14
01-12-2021,Kozhikode,4,0,0,4
01-12-2021,Wayanad,2,0,0,2
01-12-2021,Kannur,31,41,0,72
01-12-2021,Kasaragod,0,8,0,8
01-12-2021,total,96,307,0,403
02-12-2021,Thiruvananthapuram,6,44,0,50
02-12-2021,Kollam,4,0,0,4
02-12-2021,Pathanamthitta,2,0,0,2
02-12-2021,Alappuzha,2,6,0,8
02-12-2021,Kottayam,11,0,0,11
02-12-2021,Idukki,1,22,0,23
02-12-2021,Ernakulam,12,0,0,12
02-12-2021,Thrissur,4,83,0,87
02-12-2021,Palakkad,0,31,0,31
02-12-2021,Malappuram,9,0,0,9
02-12-2021,Kozhikode,0,0,0,0
02-12-2021,Wayanad,0,0,0,0
02-12-2021,Kannur,15,60,0,75
02-12-2021,Kasaragod,0,8,0,8
02-12-2021,total,66,254,0,320
03-12-2021,Thiruvananthapuram,6,26,0,32
03-12-2021,Kollam,8,,0,8
03-12-2021,Pathanamthitta,3,,0,3
03-12-2021,Alappuzha,0,23,0,23
03-12-2021,Kottayam,9,,0,9
03-12-2021,Idukki,0,2,0,2
03-12-2021,Ernakulam,5,21,0,26
03-12-2021,Thrissur,1,69,0,70
03-12-2021,Palakkad,9,41,0,50
03-12-2021,Malappuram,0,1,0,1
03-12-2021,Kozhikode,1,38,0,39
03-12-2021,Wayanad,2,2,0,4
03-12-2021,Kannur,0,2,0,2
03-12-2021,Kasaragod,0,,0,0
03-12-2021,total,44,225,0,269
05-12-2021,Thiruvananthapuram,4,28,0,32
05-12-2021,Kollam,4,11,0,15
05-12-2021,Pathanamthitta,0,0,0,0
05-12-2021,Alappuzha,0,14,0,14
05-12-2021,Kottayam,3,0,0,3
05-12-2021,Idukki,0,0,0,0
05-12-2021,Ernakulam,10,23,0,33
05-12-2021,Thrissur,0,0,0,0
05-12-2021,Palakkad,1,52,0,53
05-12-2021,Malappuram,0,0,0,0
05-12-2021,Kozhikode,0,0,0,0
05-12-2021,Wayanad,1,0,0,1
05-12-2021,Kannur,0,0,0,0
05-12-2021,Kasaragod,0,10,0,10
05-12-2021,total,23,138,0,161
07-12-2021,Thiruvananthapuram,7,13,0,20
07-12-2021,Kollam,7,0,0,7
07-12-2021,Pathanamthitta,2,0,0,2
07-12-2021,Alappuzha,0,1,0,1
07-12-2021,Kottayam,0,59,0,59
07-12-2021,Idukki,2,0,0,2
07-12-2021,Ernakulam,0,0,0,0
07-12-2021,Thrissur,3,0,0,3
07-12-2021,Palakkad,1,28,0,29
07-12-2021,Malappuram,0,0,0,0
07-12-2021,Kozhikode,3,0,0,3
07-12-2021,Wayanad,0,0,0,0
07-12-2021,Kannur,0,0,0,0
07-12-2021,Kasaragod,3,5,0,8
07-12-2021,total,28,106,0,134
09-12-2021,Thiruvananthapuram,7,31,0,38
09-12-2021,Kollam,8,0,0,8
09-12-2021,Pathanamthitta,2,68,0,70
09-12-2021,Alappuzha,6,8,0,14
09-12-2021,Kottayam,4,34,0,38
09-12-2021,Idukki,7,0,0,7
09-12-2021,Ernakulam,5,0,0,5
09-12-2021,Thrissur,3,0,0,3
09-12-2021,Palakkad,4,16,0,20
09-12-2021,Malappuram,2,10,0,12
09-12-2021,Kozhikode,0,0,0,0
09-12-2021,Wayanad,2,0,0,2
09-12-2021,Kannur,1,0,0,1
09-12-2021,Kasaragod,1,6,0,7
09-12-2021,total,52,173,0,225
08-12-2021,Thiruvananthapuram,8,17,0,25
08-12-2021,Kollam,6,0,0,6
08-12-2021,Pathanamthitta,2,0,0,2
08-12-2021,Alappuzha,0,0,0,0
08-12-2021,Kottayam,3,30,0,33
08-12-2021,Idukki,0,0,0,0
08-12-2021,Ernakulam,6,0,0,6
08-12-2021,Thrissur,1,0,0,1
08-12-2021,Palakkad,6,30,0,36
08-12-2021,Malappuram,0,0,0,0
08-12-2021,Kozhikode,3,0,0,3
08-12-2021,Wayanad,0,0,0,0
08-12-2021,Kannur,0,0,0,0
08-12-2021,Kasaragod,0,0,0,0
08-12-2021,total,35,77,0,112
06-12-2021,Thiruvananthapuram,8,10,0,18
06-12-2021,Kollam,1,0,0,1
06-12-2021,Pathanamthitta,0,0,0,0
06-12-2021,Alappuzha,0,44,0,44
06-12-2021,Kottayam,0,42,0,42
06-12-2021,Idukki,0,14,0,14
06-12-2021,Ernakulam,5,0,0,5
06-12-2021,Thrissur,1,0,0,1
06-12-2021,Palakkad,7,11,0,18
06-12-2021,Malappuram,0,0,0,0
06-12-2021,Kozhikode,3,0,0,3
06-12-2021,Wayanad,3,0,0,3
06-12-2021,Kannur,0,0,0,0
06-12-2021,Kasaragod,2,17,0,19
06-12-2021,total,30,138,0,168
04-12-2021,Thiruvananthapuram,8,20,0,28
04-12-2021,Kollam,16,92,0,108
04-12-2021,Pathanamthitta,2,0,0,2
04-12-2021,Alappuzha,0,33,0,33
04-12-2021,Kottayam,8,0,0,8
04-12-2021,Idukki,0,0,0,0
04-12-2021,Ernakulam,5,38,0,43
04-12-2021,Thrissur,3,0,0,3
04-12-2021,Palakkad,4,40,0,44
04-12-2021,Malappuram,0,0,0,0
04-12-2021,Kozhikode,0,20,0,20
04-12-2021,Wayanad,3,16,0,19
04-12-2021,Kannur,0,1,0,1
04-12-2021,Kasaragod,3,3,0,6
04-12-2021,total,52,263,0,315
24-11-2021,Thiruvananthapuram,6,30,0,36
24-11-2021,Kollam,5,0,0,5
24-11-2021,Pathanamthitta,0,0,0,0
24-11-2021,Alappuzha,2,45,0,47
24-11-2021,Kottayam,7,79,0,86
24-11-2021,Idukki,2,7,0,9
24-11-2021,Ernakulam,3,57,0,60
24-11-2021,Thrissur,3,0,0,3
24-11-2021,Palakkad,0,22,0,22
24-11-2021,Malappuram,1,29,0,30
24-11-2021,Kozhikode,3,0,0,3
24-11-2021,Wayanad,2,0,0,2
24-11-2021,Kannur,0,0,0,0
24-11-2021,Kasaragod,1,4,0,5
24-11-2021,total,35,273,0,308
22-11-2021,Thiruvananthapuram,0,2,0,2
22-11-2021,Kollam,8,0,0,8
22-11-2021,Pathanamthitta,0,0,0,0
22-11-2021,Alappuzha,59,21,0,80
22-11-2021,Kottayam,0,0,0,0
22-11-2021,Idukki,0,0,0,0
22-11-2021,Ernakulam,2,39,0,41
22-11-2021,Thrissur,0,34,0,34
22-11-2021,Palakkad,1,0,0,1
22-11-2021,Malappuram,0,0,0,0
22-11-2021,Kozhikode,3,9,0,12
22-11-2021,Wayanad,2,0,0,2
22-11-2021,Kannur,0,0,0,0
22-11-2021,Kasaragod,0,0,0,0
22-11-2021,total,75,105,0,180
20-11-2021,Thiruvananthapuram,5,6,0,11
20-11-2021,Kollam,8,108,0,116
20-11-2021,Pathanamthitta,0,0,0,0
20-11-2021,Alappuzha,5,33,0,38
20-11-2021,Kottayam,0,0,0,0
20-11-2021,Idukki,0,4,0,4
20-11-2021,Ernakulam,2,0,0,2
20-11-2021,Thrissur,1,0,0,1
20-11-2021,Palakkad,4,9,0,13
20-11-2021,Malappuram,0,4,0,4
20-11-2021,Kozhikode,2,31,0,33
20-11-2021,Wayanad,5,0,0,5
20-11-2021,Kannur,0,21,0,21
20-11-2021,Kasaragod,0,0,0,0
20-11-2021,total,32,216,0,248
19-11-2021,Thiruvananthapuram,4,2,0,6
19-11-2021,Kollam,3,0,0,3
19-11-2021,Pathanamthitta,0,1,0,1
19-11-2021,Alappuzha,26,37,0,63
19-11-2021,Kottayam,0,0,0,0
19-11-2021,Idukki,0,7,0,7
19-11-2021,Ernakulam,10,0,0,10
19-11-2021,Thrissur,4,0,0,4
19-11-2021,Palakkad,0,1,0,1
19-11-2021,Malappuram,0,24,0,24
19-11-2021,Kozhikode,1,0,0,1
19-11-2021,Wayanad,1,0,0,1
19-11-2021,Kannur,0,79,0,79
19-11-2021,Kasaragod,0,4,0,4
19-11-2021,total,49,155,0,204
18-11-2021,Thiruvananthapuram,7,18,0,25
18-11-2021,Kollam,5,0,0,5
18-11-2021,Pathanamthitta,0,0,0,0
18-11-2021,Alappuzha,7,1,0,8
18-11-2021,Kottayam,5,0,0,5
18-11-2021,Idukki,3,22,0,25
18-11-2021,Ernakulam,4,66,0,70
18-11-2021,Thrissur,1,162,0,163
18-11-2021,Palakkad,5,1,0,6
18-11-2021,Malappuram,4,0,0,4
18-11-2021,Kozhikode,2,37,0,39
18-11-2021,Wayanad,0,0,0,0
18-11-2021,Kannur,8,14,0,22
18-11-2021,Kasaragod,0,0,0,0
18-11-2021,total,51,321,0,372
15-11-2021,Thiruvananthapuram,2,12,0,14
15-11-2021,Kollam,0,0,0,0
15-11-2021,Pathanamthitta,6,0,0,6
15-11-2021,Alappuzha,2,15,0,17
15-11-2021,Kottayam,0,0,0,0
15-11-2021,Idukki,6,16,0,22
15-11-2021,Ernakulam,29,4,0,33
15-11-2021,Thrissur,1,0,0,1
