date,cases_new,tests_today,tests_total,cases_total,discharged_total,deaths_total,active_cases,vax_today
2021-05-07,9642,30531,3991171,229993,154132,3430,67691,35771
2021-05-06,8517,33097,3954321,220351,149489,3293,62911,55885
2021-05-05,7783,43489,3918586,211834,144941,3142,59526,42268
2021-05-04,7028,45213,3912724,204051,140184,3015,56627,25413
2021-05-03,5403,38174,3874678,197023,134488,2930,55436,8941
2021-05-02,5606,23285,3841463,191620,131144,2802,53612,
2021-05-01,5493,35058,3815200,186014,128209,2731,51127,70175
2021-04-30,5654,34642,3782632,180521,124565,2624,49492,44691
2021-04-29,6251,39852,3752603,174867,120350,2502,48318,42136
2021-04-28,6054,44774,3718006,168616,117221,2417,45383,35898
2021-04-27,5703,14277,3675568,162562,113736,2309,43032,39180
2021-04-26,5058,33059,3637694,156859,112265,2213,39031,42614
2021-04-25,4368,33808,3574574,151801,110664,2146,35864,20990
2021-04-24,5084,40479,3536994,147433,108916,2102,33330,41222
2021-04-23,4339,31152,3500685,142349,107450,2021,29949,62872
2021-04-22,3998,29709,3464616,138010,106271,1972,26980,34020
2021-04-21,4807,36897,3428170,134012,104527,1953,24893,43216
2021-04-20,3012,26872,3391513,129205,103633,1919,21014,66726
2021-04-19,2160,36023,3363489,126193,102899,1892,18864,43947
2021-04-18,2630,33332,3333159,124033,102367,1868,17293,
2021-04-17,2757,39923,3300338,121403,101659,1856,15386,40309
2021-04-16,2402,40585,3248037,118646,100857,1819,13546,48448
2021-04-15,2220,43241,3215093,116244,99777,1802,12484,34552
2021-04-14,1953,47619,3176482,114024,99380,1793,10770,30600
2021-04-13,1925,36773,3131226,112071,98897,1780,9353,34299
2021-04-12,1334,42432,3085100,110146,98492,1767,7846,49242
2021-04-11,1333,36128,3048668,108812,97887,1760,7323,29719
2021-04-10,1233,28990,3016050,107479,97644,1752,6241,45684
2021-04-09,748,35363,2982382,106246,97327,1749,5384,60841
2021-04-08,787,36325,2950213,105498,97000,1744,5042,107658
2021-04-07,1109,33050,2920139,104711,96735,1741,4526,63470
2021-04-06,791,34968,2888890,103602,96647,1736,3607,60214
2021-04-05,547,31932,2840027,102811,96296,1729,3201,54386
2021-07-31,38,24860,6298254,342139,328108,7362,632,81375
2021-07-30,41,28300,6272832,342023,327979,7362,645,86869
2021-07-29,48,27507,6246383,341982,327915,7361,669,91097
2021-07-28,60,24966,6220716,341934,327864,7361,672,33882
2021-07-27,43,27893,6192906,341874,327818,7361,659,40946
2021-07-26,54,28123,6164559,341778,327766,7359,638,31930
2021-07-25,51,22021,6138887,341724,327716,7359,637,19721
2021-07-23,11,26889,6086477,341640,327664,7359,606,47795
2021-07-22,56,24129,6060032,341629,327606,7359,649,41968
2021-07-21,37,18090,6035217,341573,327558,7357,643,42022
2021-07-20,50,22041,6014967,341536,327544,7357,620,87964
2021-07-19,34,20019,5993581,341486,327511,7357,604,45342
2021-07-18,19,17149,5973244,341452,327464,7356,623,33030
2021-07-17,32,23795,5954389,341433,327412,7356,656,50417
2021-06-13,263,14292,5133927,336879,319559,6935,4633,29450
2021-06-12,463,19896,5102496,336616,318930,6928,5021,38338
2021-06-11,287,23234,5073364,336153,318235,6909,5277,43824
2021-06-10,388,25538,5046601,335866,316621,6878,6641,48290
2021-06-09,513,23676,5028341,335478,313379,6849,9258,38872
2021-06-08,546,25474,5004569,334965,310291,6797,11885,38993
2021-06-07,395,23271,4979584,334419,307574,6731,14122,24432
2021-06-06,446,17568,4957645,334024,305239,6699,16125,31185
2021-06-05,619,24058,4936696,333578,303659,6664,17305,34497
2021-06-04,892,24172,4913184,332959,301128,6631,19283,24941
2021-06-03,589,27400,4886352,332067,297122,6573,22530,14506
2021-06-02,1003,29486,4858215,331478,293768,6535,25366,12224
2021-06-01,981,30624,4825524,330475,290990,6497,27216,15648
2021-10-31,5,6747,7781148,343896,330195,7400,151,17807
2021-10-30,15,10438,7771624,343891,330186,7400,155,45400
2021-10-29,7,12280,7759881,343876,330180,7400,146,49133
2021-10-28,9,13178,7747261,343869,330173,7400,146,40172
2021-10-27,17,14420,7733194,343861,330163,7399,150,42798
2021-10-26,12,12860,7719760,343844,330145,7399,156,47761
2021-10-25,11,12593,7708051,343832,330137,7399,156,39476
2021-10-24,6,6955,7697771,343821,330121,7399,163,12797
2021-10-23,16,13480,7687894,343815,330112,7398,169,36170
2021-10-22,12,13191,7675527,343799,330099,7398,166,39957
2021-10-21,14,12739,7663757,343787,330085,7398,176,34172
2021-10-20,8,9413,7651916,343773,330071,7398,176,22032
2021-10-19,6,7968,7644446,343765,330065,7397,175,22038
2021-10-18,3,9378,7635444,343759,330058,7397,176,19786
2021-10-17,9,7887,7625367,343756,330054,7397,178,15701
2021-10-16,8,11736,7614498,343747,330047,7397,177,25941
2021-10-15,10,9273,7603099,343739,330041,7397,179,11541
2021-10-14,28,12526,7591380,343729,330036,7397,175,29604
2021-10-13,6,15533,7576643,343701,330032,7397,153,21840
