date,general_queries_24h,general_queries_cum,consultations_24h,consultations_total,ambulances_assigned_24h,ambulance_calls_24h,telepsych_counselling_24h,telepsych_counselling_total
26-09-2020,3617,1239558,4126,254562,497,,1147,75646
25-09-2020,3624,1235934,4135,250427,493,,1123,74523
24-09-2020,3673,1232261,4108,246319,487,,1127,73396
23-09-2020,3680,1228581,4072,242247,481,,1154,72242
22-09-2020,3621,1224960,4013,238234,480,,1107,71135
21-09-2020,3683,1221277,4038,234196,478,,1132,70003
20-09-2020,3713,1217564,4182,230014,487,,1240,68763
19-09-2020,3761,1213803,4182,225832,488,,1194,67569
18-09-2020,3809,1209994,4251,221581,487,,1131,66438
17-09-2020,3967,1206027,4311,217270,482,,1283,65155
16-09-2020,3937,1202090,4328,212942,483,,1253,63902
15-09-2020,3981,1198109,4273,208669,482,,1185,62717
14-09-2020,3972,1194137,4241,204428,478,,1251,61466
13-09-2020,3950,1190187,4205,200223,483,,1214,60252
12-09-2020,3911,1186276,4213,196010,475,,1271,58981
11-09-2020,3963,1182313,4236,191774,480,,1239,57742
09-09-2020,3914,1174481,4203,183355,482,,1303,55100
08-09-2020,3907,1170574,4212,179143,486,,1361,53739
07-09-2020,3962,1166612,4239,174904,499,,1338,52401
06-09-2020,3907,1162705,4250,170654,497,,1363,51038
05-09-2020,3909,1158796,4221,166433,480,,1371,49667
04-09-2020,3927,1154869,4275,162158,482,,1347,48320
03-09-2020,3911,1150958,4257,157901,481,,1329,46991
02-09-2020,3953,1147005,4236,153665,483,,1307,45684
01-09-2020,3903,1143102,4279,149386,483,,1281,44403
31-08-2020,3951,1139151,4237,145149,480,,1139,43264
30-08-2020,3917,1135234,4181,140968,481,,1283,41981
29-08-2020,4038,1131196,4295,136673,492,,1438,40543
28-08-2020,4013,1127183,4361,132312,495,,1486,39057
27-08-2020,4286,1122897,4558,127754,514,,1439,37618
26-08-2020,4412,1118485,4617,123137,518,,1407,36211
25-08-2020,4393,1114092,4591,118546,514,,1512,34699
24-08-2020,4237,1109855,4612,113934,518,,1648,33051
23-08-2020,4173,1105682,4511,109423,525,,1593,31458
22-08-2020,4286,1101396,4539,104884,529,,1610,29848
21-08-2020,4313,1097083,4511,100373,527,,1593,28255
20-08-2020,4417,1092666,4437,95936,529,,1621,26634
19-08-2020,4427,1088239,4514,91422,531,,1627,25007
18-08-2020,4530,1083709,4737,86685,541,,1731,23276
17-08-2020,4375,1079334,4218,82467,537,,1810,21466
16-08-2020,4521,1074813,4120,78347,539,,1639,19827
15-08-2020,4693,1070120,4217,74130,535,,1831,17996
13-08-2020,4219,1061592,3720,66482,542,,1573,14803
12-08-2020,4102,1057490,3625,62857,545,,1619,13184
11-08-2020,4519,1052971,3318,59539,535,,1710,11474
09-08-2020,,,,,,,,
06-08-2020,3850,1032295,2632,45496,548,,1238,
23-09-2021,,,,,,,,
24-09-2021,,,,,,,,
25-09-2021,2434,2199737,1241,,225,,552,
26-09-2021,2441,2202171,1244,,220,,549,
27-09-2021,2427,2204612,1228,,215,,541,
28-09-2021,2425,2207039,1231,,219,,537,
29-09-2021,2429,2209464,1227,,220,,531,
01-10-2021,2426,2214329,1227,904509,225,,535,438579
30-09-2021,2436,2211893,1232,903277,225,,537,438042
02-10-2021,2421,2216755,1228,,226,,538,
03-10-2021,2420,2219176,1225,906604,225,,536,439652
04-10-2021,2417,2221596,1219,907829,223,,538,440188
05-10-2021,2419,2224013,1220,909048,224,,536,440726
06-10-2021,2421,2226432,1217,910268,227,,538,441262
07-10-2021,2417,2228853,1215,911485,225,,535,441800
08-10-2021,2425,2231270,1211,912700,226,,538,442335
10-10-2021,2428,2236124,1205,,227,,537,
11-10-2021,2417,2238552,1210,916326,228,,539,443945
12-10-2021,2397,2240969,1201,917536,228,,220,444484
13-10-2021,2395,2243366,1219,,229,,239,
14-10-2021,2381,2245761,1215,,225,,231,
15-10-2021,2378,2248142,1210,,215,,230,
16-10-2021,2375,2250520,1204,,201,,220,
17-10-2021,2381,2252895,1212,,209,,225,
18-10-2021,2378,2255276,1208,924797,211,,225,445849
19-10-2021,2370,2257654,1217,926005,217,,229,446074
20-10-2021,2361,2260024,1229,927222,227,,241,446303
21-10-2021,2357,2262385,1231,928451,229,,237,446544
22-10-2021,2369,2264742,1259,929682,241,,249,446781
23-10-2021,2372,2267111,1269,930941,259,,259,447030
24-10-2021,2377,2269483,1278,932210,268,,271,447289
25-10-2021,2361,2271860,1276,932337,265,,265,447560
27-10-2021,,,,,,,,
26-10-2021,2376,2274221,1276,933613,265,,265,447825
28-10-2021,,,,,,,,
29-10-2021,,,,,,,,
30-10-2021,,,,,,,,
31-10-2021,2388,2286142,1279,940020,298,,295,449265
01-11-2021,,,,,,,,
02-11-2021,,,,,,,,
03-11-2021,,,,,,,,
04-11-2021,2370,2295662,1267,945112,290,,298,450441
05-11-2021,2368,2298032,1264,946379,297,,298,450739
06-11-2021,,,,,,,,
07-11-2021,2360,2302761,1265,948911,296,,291,451332
08-11-2021,,,,,,,,
09-11-2021,,,,,,,,
11-11-2021,2369,2312205,1261,953969,305,,298,452497
10-11-2021,,,,,,,,
12-11-2021,2361,2314574,1260,955230,303,,295,452795
13-11-2021,2361,2316935,1260,956490,303,,295,453090
14-11-2021,2355,2319296,1259,957750,305,,291,453385
15-11-2021,2348,2321651,1255,959009,301,,290,453676
16-11-2021,2349,2323999,1251,960264,307,,296,453966
19-11-2021,2337,2331030,1251,964009,312,,299,454856
18-11-2021,2341,2328689,1247,962762,309,,297,454559
17-11-2021,2341,2326348,1247,961515,309,,297,454262
20-11-2021,2339,2333367,1247,965260,305,,295,455155
21-11-2021,2327,2335706,1251,966507,301,,291,455450
22-11-2021,2321,2338033,1250,967758,300,,290,455741
23-11-2021,2317,2340354,1254,969008,284,,277,456031
24-11-2021,2349,2342671,1237,970262,271,,357,456308
25-11-2021,2309,2345020,1219,971499,257,,321,456665
26-11-2021,2379,2347329,1227,972718,239,,287,456986
27-11-2021,2343,2349708,1189,973945,239,,307,457273
28-11-2021,2289,2352051,1209,975134,221,,253,457580
29-11-2021,2319,2354340,1183,976343,229,,261,457833
30-11-2021,2281,2356659,1173,977526,221,,253,458094
01-12-2021,2327,2358940,1213,978699,227,,311,458347
02-12-2021,2314,2361267,1228,979912,234,,282,458658
03-12-2021,2254,2363581,1189,981140,224,,293,458940
04-12-2021,2278,2365835,1203,982329,217,,289,459233
05-12-2021,2267,2368113,1211,983532,211,,277,459522
06-12-2021,2277,2370380,1215,984743,217,,308,459799
07-12-2021,2247,2372657,1207,985958,213,,297,460107
08-12-2021,2219,2374904,1177,987165,202,,249,460404
09-12-2021,2235,2377123,1187,988342,216,,268,460653
10-12-2021,2217,2379358,1193,989529,219,,273,460921
11-12-2021,2221,2381575,1201,990722,223,,281,461194
13-12-2021,2218,2386027,1225,993136,229,,284,461766
12-12-2021,2231,2383796,1213,991923,232,,291,461475
14-12-2021,2216,2388245,1223,994361,223,,278,462050
15-12-2021,2231,2390461,1229,995584,226,,281,462328
16-12-2021,2251,2392692,1243,996813,234,,297,462609
17-12-2021,2267,2394943,1259,998056,235,,307,462906
20-12-2021,2189,2401732,1178,1001800,214,,277,463805
19-12-2021,2263,2399469,1238,1000562,236,,301,463504
18-12-2021,2259,2397210,1247,999315,231,,291,463213
21-12-2021,2209,2403921,1194,1002978,221,,286,464082
22-12-2021,2193,2406130,1179,1004172,219,,281,464368
23-12-2021,2207,2408323,1191,1005351,223,,284,464649
24-12-2021,2215,2410530,1196,1006542,228,,293,464933
25-12-2021,2226,2412745,1227,1007738,235,,289,465226
26-12-2021,2224,2414971,1229,1008965,234,,291,465515
27-12-2021,2179,2417195,1164,1010194,204,,247,465806
28-12-2021,2211,2419374,1190,1011358,217,,277,466053
29-12-2021,2241,2421585,1221,1012548,234,,297,466330
30-12-2021,2273,2423826,1251,1013769,258,,312,466627
31-12-2021,2328,2426099,1311,1015020,294,,367,466939
01-01-2022,2348,2428427,1327,1016331,304,,387,467306
02-01-2022,2364,2430775,1377,1017658,324,,419,467693
03-01-2022,2381,2433139,1392,1019035,317,,461,468112
04-01-2022,2411,2435520,1421,1020427,337,,489,468573
05-01-2022,2502,2437931,1497,1021848,351,,537,469062
