date,district,cases_today,percentage_tests_positive,outside_source_details,case_details,remarks,cases_total,active_cases,recovered_total,deaths_total
2021-04-28,gurdaspur,337,11.21,,"68 contact of positive case, 22 new cases (ili), 247 new cases",,15175,1644,13039,492
2021-04-28,kapurthala,146,7.27,,146 new cases,,12133,1042,10762,329
2021-04-28,sbs nagar,73,5.83,,"14 new cases (ili), 59 new cases",,8674,534,7903,237
2021-04-28,pathankot,299,13.63,,"58 new cases (ili), 241 new cases",,9618,1485,7927,206
2021-04-28,sangrur,188,10.28,,188 new cases,,8226,1280,6629,317
2021-04-28,ferozepur,145,15.09,,145 new cases,,7399,1112,6075,212
2021-04-28,ropar,128,9.77,,128 new cases,,7939,1208,6471,260
2021-04-28,faridkot,150,13.2,,150  new cases,,7369,1330,5922,117
2021-04-28,fazilka,150,16.95,,"18 contact of positive case, 36 new case (ili), 96 new cases",,7064,1500,5438,126
2021-04-28,muktsar,269,19.75,,"67 new cases (ili), 202 new cases",,7435,1927,5373,135
2021-04-28,fg sahib,61,4.2,,"29 new cases (ili), 32 new cases",,4951,405,4407,139
2021-04-28,tarn taran,15,1.37,,15 new cases,,5524,1068,4246,210
2021-04-28,moga,85,15.23,,85 new cases,,5214,1151,3943,120
2021-04-28,mansa,201,18.27,,201 new cases,,5915,1933,3912,70
2021-04-28,barnala,24,6.11,,24  new cases,,3553,465,2996,92
2021-04-28,total,,,,,,358186,53426,295988,8772
2021-04-26,ludhiana,753,9.64,,"68 contact of positive case, 144 new cases (opd), 373 new cases (ili), 5 healthcare worker, 163 new cases",,50356,7112,41935,1309
2021-04-26,jalandhar,658,13.03,,658 new cases,,40715,4044,35617,1054
2021-04-26,sas nagar,749,23.52,,749 new cases,,42611,8151,33904,556
2021-04-26,patiala,456,13.29,,"43 contacts of positive case,  413 new cases",,30933,3080,27118,735
2021-04-26,amritsar,415,14.78,,415 new cases,,30580,5088,24596,896
2021-04-26,hoshiarpur,251,11.1,,"52 contacts of positive case, 14 new case (ili), 185 new cases",,19468,1656,17108,704
2021-04-26,bathinda,468,15.76,,"8 contact of positive case, 59 new cases (ili),  401 new cases",,18394,3826,14250,318
2021-04-26,gurdaspur,204,6.14,,"34 contact of positive case, 4 new cases (ili), 166 new cases",,14850,1604,12776,470
2021-04-26,kapurthala,166,8.72,,166 new cases,,11892,969,10598,325
2021-04-26,sbs nagar,69,7.81,,"12 new cases (ili), 57 new cases",,8535,486,7820,229
2021-04-26,pathankot,222,12.02,,"48 new cases (ili), 174 new cases",,9201,1279,7718,204
2021-04-26,sangrur,154,8.93,,154 new cases,,7893,1320,6273,300
2021-04-26,ferozepur,161,16.5,,161 new cases,,7206,1056,5948,202
2021-04-26,ropar,147,12.41,,147 new cases,,7712,1098,6360,254
2021-04-26,faridkot,149,12.25,,149 new cases,,7055,1169,5771,115
2021-04-26,fazilka,166,15.96,,"26 contact of positive case, 21 new case (ili), 119 new cases",,6659,1336,5207,116
2021-04-26,muktsar,277,25.05,,"37 new cases (ili), 2 new case (prisoners), 238 new cases",,6981,1692,5160,129
2021-04-26,fg sahib,57,3.94,,"16 new cases (ili), 41 new cases",,4828,404,4289,135
2021-04-26,tarn taran,253,24.16,,"20 contact of positive case, 10 new case (ili), 223 new cases",,5453,1173,4076,204
2021-04-26,moga,112,17.02,,112 new cases,,5047,1131,3797,119
2021-04-26,mansa,382,58.86,,382 new cases,,5508,1764,3678,66
2021-04-26,barnala,49,8.6,,49  new cases,,3489,456,2943,90
2021-04-26,total,,,,,,345366,49894,286942,8530
2021-04-25,ludhiana,1389,13.09,,"109 contact of positive case, 239 new cases (opd), 705 new cases (ili), 10 healthcare worker, 326 new cases",,49603,7117,41187,1299
2021-04-25,jalandhar,648,7.92,,648 new cases,,40057,3924,35085,1048
2021-04-25,sas nagar,893,23.07,,"37 contacts of positive case, 91 new case (ili), 765 new cases",,41862,7998,33319,545
2021-04-25,patiala,495,9.86,,"47 contacts of positive case,  448 new cases",,30493,3057,26715,721
2021-04-25,amritsar,569,13.04,,569  new cases,,30165,5084,24196,885
2021-04-25,hoshiarpur,229,10.02,,"59 contacts of positive case, 13 new case (ili), 157 new cases",,19217,1704,16816,697
2021-04-25,bathinda,464,14.94,,"52 new cases (ili),  412 new cases",,17926,3715,13897,314
2021-04-25,gurdaspur,317,9.42,,"58 contact of positive case, 17 new cases (ili), 242 new cases",,14672,1630,12579,463
2021-04-25,kapurthala,202,10.74,,202 new cases,,11726,921,10480,325
2021-04-25,sbs nagar,69,4.85,,"9 new cases (ili), 60 new cases",,8466,479,7760,227
2021-04-25,pathankot,164,7.05,,"35 new cases (ili), 129 new cases",,8979,1203,7575,201
2021-04-25,sangrur,133,6.65,,133 new cases,,7739,1173,6273,293
2021-04-25,ferozepur,87,11.39,,87 new cases,,7045,982,5863,200
2021-04-25,ropar,76,6.54,,76 new cases,,7565,1076,6237,252
2021-04-25,faridkot,122,7.82,,122 new cases,,6906,1087,5705,114
2021-04-25,fazilka,241,24.97,,"49 contact of positive case, 76 new case (ili), 116 new cases",,6493,1319,5060,114
2021-04-25,muktsar,300,22.97,,"29 new cases (ili), 11 new case (prisioners), 260 new cases",,6704,1492,5086,126
2021-04-25,fg sahib,60,3.75,,"19 new cases (ili), 41 new cases",,4771,385,4251,135
2021-04-25,tarn taran,84,6.03,,84 new cases,,5200,922,4076,202
2021-04-25,moga,95,19.15,,95 new cases,,4935,1021,3797,117
2021-04-25,mansa,250,15.13,,250 new cases,,5126,1444,3618,64
2021-04-25,barnala,127,19.1,,127  new cases,,3440,421,2929,90
2021-04-25,total,,,,,,339090,48154,282504,8432
2021-04-24,ludhiana,861,9.98,,"57 contact of positive case, 146 new cases (opd), 464 new cases (ili), 7 healthcare worker, 187 new cases",,48214,6620,40304,1290
2021-04-24,jalandhar,544,9.64,,544 new cases,,39409,3682,34682,1045
2021-04-24,sas nagar,802,16.11,,802 new cases,,40969,8042,32387,540
2021-04-24,patiala,465,10.27,,"25 contacts of positive case,  440 new cases",,30016,3443,25866,707
2021-04-24,amritsar,385,9.69,,385  new cases,,29596,4881,23839,876
2021-04-24,hoshiarpur,218,9.36,,"54 contacts of positive case, 7 new case (ili), 157 new cases",,18988,1762,16535,691
2021-04-24,bathinda,592,20.83,,"17 contact of positive case, 79 new cases (ili),  496 new cases",,17462,3572,13580,310
2021-04-24,gurdaspur,206,6.24,,"26 contact of positive case, 21 new cases (ili), 159 new cases",,14371,1663,12250,458
2021-04-24,kapurthala,131,4.39,,131 new cases,,11524,887,10314,323
2021-04-24,sbs nagar,56,4,,"10 new cases (ili), 46 new cases",,8397,438,7732,227
2021-04-24,pathankot,217,10.25,,"46 new cases (ili), 171 new cases",,8815,1176,7440,199
2021-04-24,sangrur,142,7.14,,"18 contact of positive case, 47 new cases (ili), 77 new cases",,7606,1112,6202,292
2021-04-24,ferozepur,107,13.14,,107 new cases,,6958,902,5857,199
2021-04-24,ropar,151,12.54,,151 new cases,,7489,1063,6177,249
2021-04-24,faridkot,100,8.65,,100 new cases,,6784,1033,5639,112
2021-04-24,fazilka,170,20.68,,"32 contact of positive case, 60 new case (ili), 78 new cases",,6252,1210,4932,110
2021-04-24,muktsar,109,8.26,,"34 new cases (ili), 75  new cases",,6404,1249,5029,126
2021-04-24,fg sahib,66,4.29,,"21 new cases (ili), 45 new cases",,4711,349,4227,135
2021-04-24,tarn taran,100,5.58,,100 new cases,,5116,958,3958,200
2021-04-24,moga,37,5.26,,37 new cases,,4840,926,3797,117
2021-04-24,mansa,220,19.25,,"8 contact of positive case, 212 new cases",,4876,1267,3547,62
2021-04-24,barnala,45,7.43,,45  new cases,,3313,330,2895,88
2021-04-24,total,,,,,,332110,46565,277189,8356
